data_type,continent,country,demographic,signup_date,day,time_period,job_category,posting_date,region,job_type,skill,demo_type,request_date,event_type,query_date,query_type
promotional event data,Europe,France,Small Business,2024/07/21,Tuesday,Afternoon (12PM-6PM),Engineering,2023/12/13,Europe,Internship,SQL,Enterprise,2023/08/10,assistant data,2024/03/18,region search
job posting data,South America,Argentina,Enterprise,2023/05/28,Saturday,Evening (6PM-12AM),Engineering,2023/09/15,Europe,Contract,Python,Academic,2023/08/19,promotional event data,2024/02/04,job search
user data,Asia,Japan,Enterprise,2024/09/14,Friday,Morning (6AM-12PM),Engineering,2024/01/16,North America,Full-Time,JavaScript,Small Business,2024/10/05,promotional event data,2024/01/05,category query
assistant data,Africa,South Africa,Startup,2023/07/03,Wednesday,Morning (6AM-12PM),Sales,2023/12/09,South America,Full-Time,Java,Academic,2024/10/01,assistant data,2024/09/25,category query
user data,Europe,UK,Enterprise,2024/02/16,Saturday,Afternoon (12PM-6PM),Engineering,2023/09/16,South America,Part-Time,SQL,Enterprise,2024/04/08,promotional event data,2024/11/29,job search
job posting data,Africa,South Africa,Enterprise,2023/07/04,Wednesday,Night (12AM-6AM),Marketing,2024/09/20,Australia,Full-Time,SQL,Enterprise,2024/08/07,promotional event data,2024/03/14,category query
demographic data,Asia,Japan,Academic,2023/05/09,Thursday,Afternoon (12PM-6PM),Marketing,2024/05/17,Africa,Full-Time,Java,Enterprise,2023/05/29,job posting data,2023/10/23,job search
assistant data,South America,Brazil,Academic,2024/08/12,Sunday,Evening (6PM-12AM),Customer Support,2023/10/07,Africa,Part-Time,SQL,Enterprise,2024/07/08,assistant data,2023/05/17,job search
job posting data,Australia,Australia,Academic,2024/01/22,Friday,Afternoon (12PM-6PM),Sales,2023/08/10,Australia,Full-Time,Python,Academic,2023/04/04,promotional event data,2023/07/08,job search
job type data,Asia,China,Individual,2023/08/29,Monday,Afternoon (12PM-6PM),Design,2023/01/24,Europe,Part-Time,Java,Small Business,2024/06/30,job posting data,2024/07/26,job search
job type data,South America,Brazil,Academic,2023/11/19,Wednesday,Morning (6AM-12PM),Design,2024/01/07,Asia,Internship,SQL,Individual,2023/10/19,job posting data,2023/06/17,job search
promotional event data,Europe,France,Enterprise,2023/08/27,Saturday,Evening (6PM-12AM),Customer Support,2023/05/19,South America,Part-Time,Python,Academic,2024/11/06,assistant data,2023/08/20,job search
user data,South America,Argentina,Small Business,2024/06/24,Tuesday,Afternoon (12PM-6PM),Product Management,2023/01/29,North America,Full-Time,JavaScript,Enterprise,2023/07/27,assistant data,2023/09/18,region search
job posting data,North America,Canada,Academic,2024/07/12,Sunday,Morning (6AM-12PM),Product Management,2024/10/25,Africa,Part-Time,Java,Enterprise,2024/01/27,job posting data,2024/07/03,category query
assistant data,Asia,Japan,Enterprise,2023/05/10,Saturday,Night (12AM-6AM),Sales,2024/06/07,South America,Full-Time,C++,Small Business,2023/03/19,promotional event data,2023/02/13,job search
demographic data,North America,Mexico,Academic,2023/04/27,Sunday,Morning (6AM-12PM),Design,2023/11/05,North America,Full-Time,Excel,Small Business,2024/08/10,promotional event data,2024/06/14,category query
demographic data,South America,Argentina,Small Business,2024/12/20,Sunday,Morning (6AM-12PM),Product Management,2023/04/24,Asia,Full-Time,JavaScript,Enterprise,2023/03/14,assistant data,2023/02/08,category query
user data,Australia,Australia,Academic,2024/11/17,Thursday,Evening (6PM-12AM),Product Management,2023/05/06,Africa,Contract,Excel,Individual,2023/03/02,job posting data,2023/06/14,category query
assistant data,Africa,Kenya,Academic,2023/07/05,Tuesday,Morning (6AM-12PM),Design,2024/11/18,Australia,Contract,Python,Academic,2023/08/22,job posting data,2024/10/27,category query
job type data,Australia,Australia,Individual,2023/04/25,Sunday,Morning (6AM-12PM),Product Management,2024/12/13,Australia,Full-Time,C++,Small Business,2024/10/28,assistant data,2024/05/15,region search
assistant data,South America,Brazil,Academic,2023/10/21,Monday,Morning (6AM-12PM),Design,2024/11/27,Australia,Contract,C++,Academic,2023/07/19,job posting data,2024/08/05,category query
job type data,Asia,China,Small Business,2024/04/04,Thursday,Night (12AM-6AM),Product Management,2023/09/25,Europe,Part-Time,SQL,Enterprise,2024/12/16,assistant data,2024/12/24,job search
promotional event data,Africa,Nigeria,Enterprise,2024/11/05,Monday,Evening (6PM-12AM),Marketing,2024/03/05,Europe,Part-Time,C++,Academic,2024/07/13,assistant data,2024/09/15,category query
job posting data,Africa,Nigeria,Small Business,2023/01/12,Wednesday,Afternoon (12PM-6PM),Design,2024/12/19,Asia,Part-Time,Java,Enterprise,2024/10/10,promotional event data,2023/09/15,region search
job posting data,North America,Canada,Startup,2024/08/31,Tuesday,Afternoon (12PM-6PM),Customer Support,2023/04/04,Europe,Part-Time,Python,Academic,2024/11/22,promotional event data,2023/08/26,region search
job type data,Africa,Kenya,Academic,2024/10/01,Thursday,Evening (6PM-12AM),Customer Support,2023/04/04,Europe,Internship,SQL,Enterprise,2023/08/22,promotional event data,2024/11/02,job search
demographic data,North America,USA,Individual,2024/12/06,Saturday,Evening (6PM-12AM),Sales,2024/01/03,Africa,Part-Time,JavaScript,Individual,2024/02/06,job posting data,2024/09/03,region search
job type data,Europe,UK,Startup,2024/12/08,Saturday,Morning (6AM-12PM),Engineering,2023/09/28,Africa,Internship,Python,Individual,2024/11/04,assistant data,2024/01/24,region search
user data,North America,Canada,Enterprise,2024/07/23,Sunday,Morning (6AM-12PM),Sales,2023/07/07,Australia,Contract,C++,Individual,2024/11/09,assistant data,2023/03/11,region search
assistant data,Australia,Australia,Individual,2024/01/14,Thursday,Night (12AM-6AM),Marketing,2024/06/09,Europe,Contract,Excel,Small Business,2024/09/05,assistant data,2023/11/09,category query
demographic data,North America,Mexico,Small Business,2023/03/20,Thursday,Evening (6PM-12AM),Sales,2023/08/30,Australia,Part-Time,Java,Individual,2024/05/04,job posting data,2024/10/01,category query
job posting data,North America,USA,Academic,2023/09/15,Tuesday,Night (12AM-6AM),Sales,2023/04/27,South America,Full-Time,C++,Academic,2023/07/26,assistant data,2024/06/13,region search
demographic data,South America,Chile,Startup,2023/02/19,Sunday,Evening (6PM-12AM),Marketing,2023/04/03,Europe,Contract,Excel,Enterprise,2024/04/19,promotional event data,2024/07/20,region search
job posting data,North America,Canada,Startup,2024/01/20,Wednesday,Evening (6PM-12AM),Product Management,2024/10/24,Europe,Internship,SQL,Small Business,2023/05/05,promotional event data,2023/06/04,category query
promotional event data,Africa,South Africa,Small Business,2023/07/12,Sunday,Morning (6AM-12PM),Sales,2023/11/03,Africa,Full-Time,C++,Academic,2024/06/23,assistant data,2024/10/29,category query
job posting data,North America,Canada,Enterprise,2023/01/11,Tuesday,Afternoon (12PM-6PM),Product Management,2024/04/26,South America,Internship,Excel,Small Business,2023/04/29,job posting data,2024/04/29,category query
job posting data,Africa,Nigeria,Individual,2023/03/04,Tuesday,Night (12AM-6AM),Engineering,2023/06/06,Australia,Part-Time,Excel,Academic,2023/11/17,job posting data,2023/12/04,category query
user data,Australia,Australia,Enterprise,2024/03/15,Saturday,Morning (6AM-12PM),Customer Support,2024/04/15,Asia,Part-Time,JavaScript,Academic,2023/10/27,job posting data,2023/01/28,job search
job type data,Australia,Australia,Startup,2024/05/19,Tuesday,Night (12AM-6AM),Design,2024/06/10,South America,Internship,JavaScript,Academic,2024/12/28,promotional event data,2024/07/13,region search
user data,South America,Brazil,Small Business,2024/11/13,Thursday,Afternoon (12PM-6PM),Customer Support,2023/10/17,North America,Full-Time,JavaScript,Small Business,2024/08/11,promotional event data,2024/05/09,category query
user data,Europe,UK,Small Business,2024/05/12,Thursday,Afternoon (12PM-6PM),Sales,2023/09/30,North America,Contract,SQL,Individual,2023/06/14,job posting data,2023/04/22,category query
job type data,North America,Canada,Enterprise,2024/05/15,Sunday,Evening (6PM-12AM),Product Management,2024/01/16,Europe,Contract,SQL,Enterprise,2024/03/28,promotional event data,2024/03/20,category query
demographic data,Africa,Kenya,Startup,2024/10/25,Friday,Evening (6PM-12AM),Marketing,2023/02/20,Asia,Full-Time,Excel,Small Business,2024/02/05,promotional event data,2024/05/11,job search
job posting data,South America,Chile,Startup,2023/05/30,Monday,Evening (6PM-12AM),Customer Support,2024/08/03,South America,Contract,Python,Individual,2024/12/27,assistant data,2024/07/28,category query
job type data,North America,Canada,Enterprise,2024/01/01,Friday,Evening (6PM-12AM),Design,2024/02/05,Asia,Part-Time,Excel,Individual,2023/08/10,job posting data,2023/03/20,job search
user data,Australia,Australia,Enterprise,2023/11/27,Saturday,Morning (6AM-12PM),Sales,2024/04/09,Australia,Internship,C++,Enterprise,2024/05/17,job posting data,2023/11/06,region search
assistant data,South America,Argentina,Small Business,2024/09/17,Friday,Night (12AM-6AM),Engineering,2024/06/30,Africa,Internship,Java,Academic,2023/04/22,assistant data,2023/11/17,category query
assistant data,South America,Brazil,Academic,2023/10/27,Wednesday,Morning (6AM-12PM),Customer Support,2023/04/07,Australia,Part-Time,Java,Enterprise,2023/11/06,job posting data,2023/05/26,region search
promotional event data,Australia,Australia,Individual,2024/02/10,Monday,Night (12AM-6AM),Sales,2024/09/30,North America,Full-Time,Excel,Small Business,2023/08/11,assistant data,2023/08/13,job search
user data,South America,Argentina,Small Business,2024/06/25,Tuesday,Morning (6AM-12PM),Customer Support,2024/03/16,Asia,Part-Time,JavaScript,Enterprise,2023/01/25,job posting data,2024/01/29,category query
assistant data,South America,Argentina,Academic,2023/09/25,Tuesday,Morning (6AM-12PM),Design,2023/11/04,Europe,Full-Time,SQL,Academic,2024/01/23,promotional event data,2023/04/22,job search
user data,Australia,Australia,Small Business,2023/05/19,Thursday,Morning (6AM-12PM),Sales,2023/04/17,South America,Internship,C++,Small Business,2023/05/15,assistant data,2023/06/13,job search
assistant data,South America,Argentina,Individual,2024/03/11,Tuesday,Evening (6PM-12AM),Sales,2023/04/04,North America,Full-Time,Excel,Small Business,2023/01/12,assistant data,2023/09/30,category query
job type data,Asia,India,Individual,2024/07/02,Saturday,Afternoon (12PM-6PM),Product Management,2023/05/20,Africa,Internship,SQL,Enterprise,2024/02/15,promotional event data,2024/06/04,job search
job posting data,Australia,Australia,Small Business,2024/05/12,Wednesday,Morning (6AM-12PM),Marketing,2024/06/19,Asia,Contract,Excel,Academic,2024/08/09,assistant data,2023/04/20,category query
user data,North America,USA,Enterprise,2023/12/19,Sunday,Evening (6PM-12AM),Engineering,2023/03/10,Asia,Internship,SQL,Individual,2023/06/16,assistant data,2023/12/25,job search
promotional event data,North America,Canada,Small Business,2023/11/10,Saturday,Morning (6AM-12PM),Marketing,2023/01/08,Europe,Internship,Java,Academic,2023/05/23,assistant data,2024/02/05,category query
assistant data,South America,Chile,Academic,2023/02/15,Sunday,Morning (6AM-12PM),Engineering,2024/07/23,South America,Internship,Excel,Academic,2023/09/22,promotional event data,2023/06/19,region search
demographic data,Europe,France,Startup,2023/07/04,Monday,Morning (6AM-12PM),Design,2024/11/12,Australia,Internship,C++,Enterprise,2024/11/27,job posting data,2023/01/12,category query
job posting data,South America,Chile,Academic,2023/05/19,Tuesday,Night (12AM-6AM),Product Management,2024/03/27,Asia,Part-Time,Java,Academic,2023/02/01,job posting data,2023/05/14,job search
job posting data,Africa,Kenya,Individual,2023/05/08,Monday,Morning (6AM-12PM),Design,2024/02/18,Africa,Full-Time,Excel,Academic,2024/09/07,assistant data,2024/09/26,category query
job posting data,Africa,South Africa,Small Business,2024/06/07,Friday,Evening (6PM-12AM),Marketing,2024/12/26,Asia,Internship,C++,Academic,2023/08/21,promotional event data,2023/11/20,region search
user data,Europe,Germany,Enterprise,2023/12/03,Monday,Morning (6AM-12PM),Customer Support,2024/12/05,Australia,Full-Time,C++,Individual,2023/07/06,promotional event data,2024/11/11,region search
assistant data,Africa,Kenya,Individual,2023/11/07,Tuesday,Morning (6AM-12PM),Engineering,2023/05/11,North America,Full-Time,Python,Academic,2024/03/22,assistant data,2023/02/14,category query
promotional event data,South America,Brazil,Enterprise,2024/10/02,Friday,Night (12AM-6AM),Engineering,2024/06/04,Europe,Contract,C++,Individual,2024/04/27,assistant data,2023/11/12,region search
job posting data,North America,USA,Startup,2023/08/21,Tuesday,Afternoon (12PM-6PM),Product Management,2024/11/03,Africa,Contract,JavaScript,Enterprise,2024/11/10,assistant data,2023/11/07,category query
job posting data,Australia,Australia,Individual,2023/05/31,Thursday,Morning (6AM-12PM),Sales,2023/03/14,Asia,Contract,Java,Academic,2024/11/05,job posting data,2023/10/02,category query
user data,Africa,South Africa,Academic,2024/12/18,Friday,Night (12AM-6AM),Engineering,2023/11/28,Asia,Contract,Excel,Individual,2024/04/22,promotional event data,2024/02/27,job search
job posting data,North America,Mexico,Individual,2023/05/26,Monday,Evening (6PM-12AM),Design,2024/08/05,Europe,Contract,Java,Academic,2023/02/23,job posting data,2023/08/19,job search
job posting data,Europe,UK,Individual,2024/03/09,Monday,Night (12AM-6AM),Marketing,2023/11/17,Africa,Internship,SQL,Academic,2024/08/18,job posting data,2023/06/22,region search
demographic data,Africa,Kenya,Academic,2023/12/25,Saturday,Afternoon (12PM-6PM),Design,2023/05/26,South America,Internship,C++,Enterprise,2023/07/19,assistant data,2023/05/07,job search
job posting data,South America,Argentina,Academic,2023/09/14,Tuesday,Afternoon (12PM-6PM),Marketing,2023/07/14,Australia,Contract,SQL,Individual,2024/03/28,job posting data,2023/03/08,region search
assistant data,Africa,Nigeria,Academic,2024/07/29,Friday,Afternoon (12PM-6PM),Sales,2024/05/25,Europe,Full-Time,JavaScript,Enterprise,2024/01/06,job posting data,2024/12/22,category query
demographic data,Australia,Australia,Enterprise,2024/02/28,Saturday,Afternoon (12PM-6PM),Marketing,2023/06/07,Africa,Internship,JavaScript,Individual,2023/12/24,assistant data,2023/01/28,region search
promotional event data,Africa,Nigeria,Academic,2024/06/12,Tuesday,Morning (6AM-12PM),Design,2023/10/12,Europe,Full-Time,SQL,Individual,2023/11/17,promotional event data,2024/06/25,job search
job posting data,Asia,Japan,Individual,2024/07/24,Thursday,Morning (6AM-12PM),Marketing,2023/02/13,Europe,Part-Time,SQL,Enterprise,2024/03/07,job posting data,2023/11/21,category query
user data,Asia,India,Small Business,2024/07/21,Tuesday,Morning (6AM-12PM),Customer Support,2024/10/08,South America,Contract,JavaScript,Small Business,2023/12/11,promotional event data,2024/03/07,job search
user data,South America,Chile,Academic,2023/09/12,Wednesday,Evening (6PM-12AM),Engineering,2023/09/10,Europe,Internship,Java,Academic,2023/05/31,assistant data,2023/05/15,region search
promotional event data,Asia,India,Startup,2024/10/30,Saturday,Afternoon (12PM-6PM),Design,2024/12/15,North America,Part-Time,Excel,Individual,2023/02/25,promotional event data,2024/11/07,job search
assistant data,North America,Mexico,Startup,2023/02/17,Friday,Evening (6PM-12AM),Sales,2024/08/21,Australia,Internship,SQL,Individual,2024/03/10,job posting data,2023/04/01,job search
user data,Australia,Australia,Small Business,2024/10/05,Tuesday,Morning (6AM-12PM),Customer Support,2024/11/05,South America,Internship,Python,Enterprise,2023/05/03,assistant data,2023/12/02,job search
job type data,Europe,France,Individual,2024/10/18,Thursday,Morning (6AM-12PM),Product Management,2023/12/06,Africa,Internship,Python,Enterprise,2023/01/04,assistant data,2024/02/06,category query
demographic data,Africa,South Africa,Startup,2024/02/05,Thursday,Afternoon (12PM-6PM),Product Management,2023/05/24,Europe,Full-Time,Python,Academic,2024/12/18,job posting data,2023/11/02,category query
job posting data,Australia,Australia,Individual,2023/04/09,Monday,Night (12AM-6AM),Engineering,2024/03/07,Europe,Contract,SQL,Individual,2024/09/17,promotional event data,2023/05/10,job search
assistant data,Australia,Australia,Individual,2024/02/08,Wednesday,Evening (6PM-12AM),Design,2023/09/11,Africa,Contract,Python,Enterprise,2023/02/01,job posting data,2024/03/11,job search
promotional event data,Australia,Australia,Small Business,2023/04/14,Wednesday,Afternoon (12PM-6PM),Sales,2023/03/04,North America,Part-Time,JavaScript,Small Business,2024/01/17,job posting data,2024/08/23,category query
job posting data,South America,Argentina,Individual,2023/01/25,Wednesday,Night (12AM-6AM),Marketing,2024/04/11,South America,Internship,Java,Individual,2024/01/16,promotional event data,2023/07/28,job search
demographic data,Europe,UK,Individual,2024/12/24,Wednesday,Morning (6AM-12PM),Sales,2023/06/22,Europe,Part-Time,SQL,Small Business,2023/01/30,assistant data,2023/03/11,region search
job posting data,South America,Chile,Individual,2024/07/02,Saturday,Evening (6PM-12AM),Customer Support,2023/09/25,Australia,Part-Time,JavaScript,Small Business,2024/09/27,promotional event data,2024/11/20,region search
assistant data,South America,Brazil,Enterprise,2024/11/11,Wednesday,Evening (6PM-12AM),Marketing,2024/06/09,North America,Internship,JavaScript,Academic,2023/10/14,job posting data,2024/12/26,region search
user data,Europe,UK,Academic,2024/04/08,Tuesday,Night (12AM-6AM),Product Management,2024/03/10,Africa,Contract,C++,Academic,2023/07/19,job posting data,2024/03/17,region search
demographic data,Europe,France,Academic,2024/04/15,Saturday,Afternoon (12PM-6PM),Customer Support,2023/06/22,Asia,Contract,Java,Individual,2023/10/09,promotional event data,2023/08/02,region search
job posting data,Europe,UK,Academic,2023/12/05,Thursday,Afternoon (12PM-6PM),Engineering,2024/07/12,South America,Contract,C++,Individual,2023/07/19,job posting data,2023/10/28,region search
user data,North America,Mexico,Academic,2024/09/20,Monday,Night (12AM-6AM),Marketing,2024/01/27,Asia,Full-Time,Python,Individual,2023/03/05,promotional event data,2024/09/14,category query
demographic data,South America,Brazil,Small Business,2023/04/26,Monday,Morning (6AM-12PM),Product Management,2024/06/11,Australia,Part-Time,Python,Individual,2023/06/20,promotional event data,2023/03/30,category query
promotional event data,Australia,Australia,Small Business,2023/06/10,Monday,Morning (6AM-12PM),Product Management,2024/10/24,Europe,Contract,Excel,Academic,2024/05/10,job posting data,2023/07/28,region search
demographic data,North America,Mexico,Startup,2023/07/14,Tuesday,Night (12AM-6AM),Marketing,2023/07/17,Asia,Internship,SQL,Individual,2024/11/14,promotional event data,2024/05/15,job search
promotional event data,Europe,UK,Enterprise,2023/11/20,Monday,Night (12AM-6AM),Marketing,2023/09/28,Asia,Full-Time,Python,Academic,2024/04/15,promotional event data,2024/10/14,category query
job type data,Australia,Australia,Startup,2023/05/25,Monday,Evening (6PM-12AM),Customer Support,2024/01/28,Europe,Full-Time,Python,Individual,2023/11/18,assistant data,2024/01/30,category query
demographic data,Asia,China,Individual,2024/03/14,Friday,Night (12AM-6AM),Sales,2023/07/01,North America,Internship,JavaScript,Small Business,2024/05/04,job posting data,2023/09/15,job search
job type data,Europe,Germany,Academic,2023/02/24,Wednesday,Morning (6AM-12PM),Customer Support,2023/11/06,Europe,Full-Time,JavaScript,Small Business,2023/03/01,job posting data,2024/09/04,job search
job type data,Africa,Nigeria,Startup,2024/01/24,Saturday,Afternoon (12PM-6PM),Product Management,2024/09/09,Australia,Internship,C++,Individual,2024/09/08,job posting data,2023/05/05,job search
demographic data,North America,Canada,Individual,2024/11/08,Sunday,Afternoon (12PM-6PM),Sales,2023/07/10,Australia,Internship,Java,Academic,2024/07/03,assistant data,2024/09/13,category query
assistant data,South America,Chile,Enterprise,2024/03/30,Thursday,Evening (6PM-12AM),Product Management,2023/09/29,Africa,Contract,C++,Individual,2024/12/05,assistant data,2024/01/09,job search
user data,South America,Brazil,Academic,2023/09/15,Tuesday,Evening (6PM-12AM),Product Management,2024/05/25,Australia,Contract,Java,Individual,2023/07/23,assistant data,2024/06/05,job search
assistant data,Asia,Japan,Academic,2023/12/29,Saturday,Night (12AM-6AM),Design,2023/10/10,Australia,Part-Time,Excel,Individual,2023/04/14,job posting data,2023/05/26,region search
demographic data,North America,Canada,Academic,2024/11/01,Friday,Afternoon (12PM-6PM),Sales,2023/11/28,South America,Part-Time,JavaScript,Academic,2023/10/20,job posting data,2023/10/04,region search
user data,South America,Chile,Individual,2023/01/28,Friday,Afternoon (12PM-6PM),Sales,2023/09/10,Europe,Internship,JavaScript,Enterprise,2023/02/16,promotional event data,2024/10/28,job search
job type data,Asia,India,Individual,2023/06/27,Thursday,Evening (6PM-12AM),Customer Support,2023/11/05,Africa,Part-Time,Python,Enterprise,2023/05/09,job posting data,2024/08/20,category query
promotional event data,Europe,UK,Individual,2024/04/21,Tuesday,Night (12AM-6AM),Sales,2023/12/11,South America,Internship,C++,Academic,2024/08/25,assistant data,2024/07/16,job search
job posting data,Asia,China,Enterprise,2024/08/11,Monday,Night (12AM-6AM),Engineering,2024/12/19,Australia,Part-Time,JavaScript,Enterprise,2024/12/30,job posting data,2023/12/12,region search
assistant data,Africa,Kenya,Enterprise,2023/02/14,Sunday,Afternoon (12PM-6PM),Sales,2023/06/17,South America,Internship,SQL,Small Business,2023/03/17,assistant data,2023/08/09,region search
promotional event data,North America,USA,Academic,2023/10/07,Tuesday,Night (12AM-6AM),Sales,2023/11/02,North America,Part-Time,Java,Small Business,2023/01/11,promotional event data,2024/04/18,region search
demographic data,Asia,India,Enterprise,2024/09/18,Friday,Morning (6AM-12PM),Design,2023/12/26,Asia,Internship,C++,Individual,2024/05/14,assistant data,2023/01/28,job search
user data,Asia,Japan,Academic,2023/08/04,Thursday,Night (12AM-6AM),Sales,2024/07/03,Australia,Part-Time,C++,Academic,2023/11/22,job posting data,2023/05/13,category query
promotional event data,North America,Mexico,Individual,2023/01/26,Thursday,Morning (6AM-12PM),Marketing,2023/01/15,Australia,Full-Time,JavaScript,Academic,2023/02/27,promotional event data,2024/09/24,region search
job posting data,Europe,UK,Academic,2024/01/22,Monday,Night (12AM-6AM),Design,2023/05/04,North America,Internship,Excel,Academic,2024/04/24,promotional event data,2024/05/15,job search
user data,Africa,South Africa,Small Business,2024/09/05,Friday,Afternoon (12PM-6PM),Design,2023/01/04,Europe,Internship,Python,Enterprise,2024/04/25,job posting data,2024/05/06,job search
job type data,South America,Brazil,Startup,2024/02/19,Wednesday,Afternoon (12PM-6PM),Sales,2023/08/07,North America,Full-Time,C++,Academic,2023/11/19,job posting data,2023/11/02,region search
job posting data,South America,Brazil,Enterprise,2024/01/22,Sunday,Morning (6AM-12PM),Marketing,2024/03/05,South America,Contract,JavaScript,Individual,2024/05/05,assistant data,2023/10/09,category query
demographic data,Africa,Kenya,Academic,2023/05/14,Tuesday,Morning (6AM-12PM),Product Management,2024/06/05,Australia,Internship,C++,Individual,2024/04/05,assistant data,2023/09/03,job search
promotional event data,South America,Brazil,Enterprise,2024/03/07,Sunday,Afternoon (12PM-6PM),Design,2023/09/22,Africa,Contract,Excel,Enterprise,2024/04/02,assistant data,2024/01/21,region search
user data,Europe,France,Startup,2023/09/16,Tuesday,Night (12AM-6AM),Product Management,2023/07/26,Europe,Contract,Python,Academic,2024/11/26,assistant data,2024/08/17,job search
demographic data,Africa,South Africa,Academic,2024/09/25,Wednesday,Evening (6PM-12AM),Customer Support,2023/05/27,Asia,Contract,JavaScript,Academic,2024/10/18,promotional event data,2024/06/06,category query
demographic data,South America,Chile,Individual,2024/12/01,Friday,Afternoon (12PM-6PM),Customer Support,2024/12/14,South America,Full-Time,C++,Individual,2023/09/06,job posting data,2024/11/09,region search
user data,North America,Canada,Startup,2024/10/19,Tuesday,Evening (6PM-12AM),Product Management,2024/09/19,Asia,Part-Time,JavaScript,Small Business,2023/12/21,job posting data,2023/05/14,job search
promotional event data,Asia,China,Enterprise,2023/03/16,Friday,Afternoon (12PM-6PM),Product Management,2024/06/08,North America,Part-Time,C++,Individual,2024/08/27,job posting data,2023/05/24,job search
promotional event data,Australia,Australia,Enterprise,2024/02/14,Sunday,Night (12AM-6AM),Design,2024/12/05,Australia,Full-Time,Java,Enterprise,2024/07/03,assistant data,2023/11/18,category query
user data,Asia,India,Startup,2024/08/27,Friday,Night (12AM-6AM),Engineering,2023/09/17,Europe,Contract,C++,Enterprise,2023/01/12,promotional event data,2024/02/22,region search
job posting data,Asia,India,Small Business,2023/09/11,Sunday,Afternoon (12PM-6PM),Engineering,2023/09/09,South America,Part-Time,Python,Enterprise,2023/02/26,assistant data,2023/12/20,category query
assistant data,North America,USA,Individual,2023/10/01,Sunday,Night (12AM-6AM),Marketing,2023/01/04,Africa,Internship,Python,Small Business,2024/03/13,assistant data,2023/02/27,region search
job posting data,North America,Mexico,Small Business,2024/01/09,Monday,Night (12AM-6AM),Engineering,2024/08/16,Europe,Part-Time,Python,Academic,2024/06/25,job posting data,2024/02/27,job search
job type data,Africa,Kenya,Individual,2024/07/26,Friday,Evening (6PM-12AM),Product Management,2024/07/29,Australia,Part-Time,Excel,Academic,2023/12/24,promotional event data,2023/03/12,region search
user data,Australia,Australia,Small Business,2024/05/26,Monday,Morning (6AM-12PM),Product Management,2023/10/10,Africa,Full-Time,SQL,Small Business,2024/08/13,promotional event data,2024/02/14,job search
job posting data,South America,Chile,Small Business,2023/09/25,Thursday,Morning (6AM-12PM),Product Management,2023/10/01,Europe,Contract,JavaScript,Academic,2023/06/03,promotional event data,2023/06/23,region search
assistant data,South America,Brazil,Enterprise,2023/03/28,Monday,Evening (6PM-12AM),Product Management,2024/08/10,North America,Internship,C++,Individual,2024/09/11,assistant data,2023/02/21,job search
user data,Asia,India,Individual,2024/02/26,Tuesday,Evening (6PM-12AM),Customer Support,2023/10/25,Asia,Internship,JavaScript,Individual,2024/09/09,assistant data,2024/11/26,category query
promotional event data,North America,Canada,Startup,2024/01/29,Sunday,Evening (6PM-12AM),Product Management,2024/01/10,North America,Full-Time,C++,Small Business,2024/04/03,promotional event data,2024/09/23,region search
job type data,Asia,China,Enterprise,2023/02/21,Thursday,Afternoon (12PM-6PM),Design,2024/07/31,Australia,Full-Time,C++,Small Business,2024/06/16,assistant data,2023/05/04,region search
promotional event data,South America,Brazil,Startup,2024/06/29,Sunday,Morning (6AM-12PM),Marketing,2023/06/17,Asia,Full-Time,SQL,Academic,2024/11/15,job posting data,2023/12/12,job search
job posting data,South America,Argentina,Startup,2024/07/21,Thursday,Afternoon (12PM-6PM),Customer Support,2023/08/28,Asia,Part-Time,C++,Individual,2023/08/04,job posting data,2024/04/12,job search
demographic data,North America,USA,Startup,2023/06/07,Thursday,Night (12AM-6AM),Sales,2023/07/12,South America,Internship,SQL,Small Business,2024/10/16,promotional event data,2024/07/27,job search
demographic data,South America,Brazil,Enterprise,2024/02/10,Friday,Morning (6AM-12PM),Product Management,2024/02/16,Europe,Full-Time,SQL,Academic,2024/11/01,promotional event data,2023/05/02,category query
demographic data,Asia,India,Academic,2024/03/21,Saturday,Evening (6PM-12AM),Sales,2023/06/25,North America,Part-Time,Python,Small Business,2023/10/29,assistant data,2023/01/11,category query
assistant data,North America,Canada,Academic,2023/07/04,Thursday,Evening (6PM-12AM),Engineering,2023/10/01,Africa,Contract,Excel,Individual,2023/03/14,assistant data,2024/04/27,region search
job type data,Africa,Kenya,Academic,2023/05/11,Friday,Night (12AM-6AM),Customer Support,2023/10/21,Asia,Contract,Excel,Enterprise,2023/10/02,job posting data,2023/06/08,category query
user data,Europe,UK,Individual,2023/11/07,Wednesday,Afternoon (12PM-6PM),Marketing,2024/06/29,South America,Internship,C++,Enterprise,2024/09/29,job posting data,2024/03/27,job search
promotional event data,Europe,Germany,Individual,2023/05/07,Thursday,Morning (6AM-12PM),Design,2024/04/24,South America,Contract,C++,Academic,2023/04/20,job posting data,2023/11/02,region search
demographic data,Europe,Germany,Academic,2024/07/02,Sunday,Night (12AM-6AM),Engineering,2023/03/17,Europe,Contract,JavaScript,Enterprise,2023/06/12,assistant data,2024/01/16,job search
user data,South America,Chile,Enterprise,2023/08/22,Saturday,Morning (6AM-12PM),Sales,2024/01/17,Europe,Full-Time,Excel,Individual,2023/09/19,job posting data,2023/04/16,category query
demographic data,North America,Mexico,Enterprise,2023/10/16,Wednesday,Evening (6PM-12AM),Customer Support,2024/09/17,South America,Internship,Python,Academic,2023/02/28,assistant data,2023/10/17,category query
